Участок,Позиция запорной арматуры,Конструктивное исполнение,Тип арматуры (запорная/ Регулирующая),Тип привода,Позиция трубы,Условный диаметр трубы DN,"Условное давление рабочей среды PN, бар",Материал трубы,Среда,Датчик положения,Тип пневмораспределителя,Положение при аварийном отключении (НЗ/НО/БИ),ШПУ,"Расход воздуха на 1 операцию, л.",Ø и резьба пневмоприсоединения,Кол-во ответных фитингов,"Ø пневмотрубки, мм",Тип концевого выключателя,Тип позиционера,Описание устройства,Категория,PLC,Ex-исполнение,Описание (ТЕМП),Операция,Примечание,,,,
Измельчение. 1 стадия,0206.001-BY-204,Поворотная заслонка/дисковый затвор,Регулирующая,Пневмопривод,-,200,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,Порт коллектора,Без изменений,0206.601-CPC02,"65,0","G 1/4""",1,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-CV,2.1,НЕТ,Загрузочный желоб мельницы МСИ 0206.001-СН-201,Загрузочный желоб мельницы МСИ 0206.001-СН-201,,,,,
Измельчение. 1 стадия,0206.001-BY-205,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МСИ 0206.001-TR-201,В бутару МСИ 0206.001-TR-201,,,,,
Измельчение. 1 стадия,0206.001-BY-206,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МСИ 0206.001-TR-201,В бутару МСИ 0206.001-TR-201,,,,,
Измельчение. 1 стадия,0206.001-BY-207,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МСИ 0206.001-TR-201,В бутару МСИ 0206.001-TR-201,,,,,
Измельчение. 1 стадия,0206.001-BY-208,Поворотная заслонка/дисковый затвор,Регулирующая,Пневмопривод,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,Порт коллектора,Без изменений,0206.601-CPC02,"6,0","G 1/4""",1,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-CV,2.1,НЕТ,В бутару МСИ 0206.001-TR-201,В бутару МСИ 0206.001-TR-201,,,,,
Измельчение. 1 стадия,0206.001-BY-225,Поворотная заслонка/дисковый затвор,Запорная,Ручной,206.001-PP-226-050-LBА,50,10,сталь (Ст. 20 или Ст.3 кп) гуммированная каучуком,Пульпа,-,,-,,,,,,,,,,,НЕТ,Отвод трубопровода для датчика давления,Отвод трубопровода для датчика давления,Замена позиции 0206.001-BV-211,,,,
Измельчение. 2 стадия,0206.001-BY-209,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МШЦ 0206.001-TR-202,В бутару МШЦ 0206.001-TR-202,,,,,
Измельчение. 2 стадия,0206.001-BY-210,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МШЦ 0206.001-TR-202,В бутару МШЦ 0206.001-TR-202,,,,,
Измельчение. 2 стадия,0206.001-BY-211,Поворотная заслонка/дисковый затвор,Запорная,Ручной,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,-,,-,,,,,,,,,,,НЕТ,В бутару МШЦ 0206.001-TR-202,В бутару МШЦ 0206.001-TR-202,,,,,
Измельчение. 2 стадия,0206.001-BY-212,Поворотная заслонка/дисковый затвор,Регулирующая,Пневмопривод,-,50,10,сталь (Ст. 20 или Ст.3 кп),Оборотная вода,+,Порт коллектора,Без изменений,0206.602-CPC02,"6,0","G 1/4""",1,10,-,Tissin/ TS800RN35S1M,"Smart Positioner, input signal: 4-20mA, -30~85℃, non-explosion proof, with 4-20mA feedback, without HART protocol, with mechanical type limit switch, NPT 1/4 air connection, NPT 1/2 cable entry, IP66",Пневмо ЗРА-CV,2.1,НЕТ,В бутару МШЦ 0206.001-TR-202,В бутару МШЦ 0206.001-TR-202,,,,,
